#WV	FL
-2.062	1.3859E-03
-2.061	1.4184E-03
-2.06	1.4507E-03
-2.059	1.4828E-03
-2.058	1.5149E-03
-2.057	1.5467E-03
-2.056	1.5785E-03
-2.055	1.6100E-03
-2.054	1.6414E-03
-2.053	1.6727E-03
-2.052	1.7037E-03
-2.051	1.7346E-03
-2.05	1.7653E-03
-2.049	1.7959E-03
-2.048	1.8262E-03
-2.047	1.8564E-03
-2.046	1.8864E-03
-2.045	1.9162E-03
-2.044	1.9458E-03
-2.043	1.9752E-03
-2.042	2.0044E-03
-2.041	2.0334E-03
-2.04	2.0621E-03
-2.039	2.0907E-03
-2.038	2.1191E-03
-2.037	2.1472E-03
-2.036	2.1751E-03
-2.035	2.2028E-03
-2.034	2.2302E-03
-2.033	2.2575E-03
-2.032	2.2844E-03
-2.031	2.3112E-03
-2.03	2.3377E-03
-2.029	2.3640E-03
-2.028	2.3900E-03
-2.027	2.4157E-03
-2.026	2.4412E-03
-2.025	2.4665E-03
-2.024	2.4915E-03
-2.023	2.5162E-03
-2.022	2.5407E-03
-2.021	2.5649E-03
-2.02	2.5888E-03
-2.019	2.6125E-03
-2.018	2.6358E-03
-2.017	2.6589E-03
-2.016	2.6818E-03
-2.015	2.7043E-03
-2.014	2.7265E-03
-2.013	2.7485E-03
-2.012	2.7701E-03
-2.011	2.7915E-03
-2.01	2.8126E-03
-2.009	2.8333E-03
-2.008	2.8538E-03
-2.007	2.8740E-03
-2.006	2.8938E-03
-2.005	2.9133E-03
-2.004	2.9326E-03
-2.003	2.9515E-03
-2.002	2.9701E-03
-2.001	2.9884E-03
-2	3.0063E-03
-1.999	3.0239E-03
-1.998	3.0413E-03
-1.997	3.0582E-03
-1.996	3.0749E-03
-1.995	3.0912E-03
-1.994	3.1072E-03
-1.993	3.1228E-03
-1.992	3.1381E-03
-1.991	3.1531E-03
-1.99	3.1677E-03
-1.989	3.1820E-03
-1.988	3.1960E-03
-1.987	3.2096E-03
-1.986	3.2228E-03
-1.985	3.2357E-03
-1.984	3.2483E-03
-1.983	3.2604E-03
-1.982	3.2723E-03
-1.981	3.2838E-03
-1.98	3.2949E-03
-1.979	3.3057E-03
-1.978	3.3161E-03
-1.977	3.3261E-03
-1.976	3.3358E-03
-1.975	3.3451E-03
-1.974	3.3540E-03
